TagName,Year,Number
events,2008,277
coordinates,2008,2
wifi,2008,9
linux-kernel,2008,5
background-image,2008,5
parameters,2008,82
clojure,2008,24
websphere,2008,51
serialization,2008,216
adobe,2008,33
google-maps-api-3,2008,1
c#-4.0,2008,16
mongodb,2008,1
out-of-memory,2008,10
maven,2008,7
join,2008,78
scripting,2008,251
zsh,2008,7
c-preprocessor,2008,55
coding-style,2008,245
runtime-error,2008,5
button,2008,43
arguments,2008,25
doctrine,2008,9
printing,2008,120
key,2008,28
popup,2008,35
jquery-plugins,2008,21
time-series,2008,3
lisp,2008,108
distinct,2008,14
logic,2008,24
lambda,2008,96
render,2008,8
editor,2008,128
set,2008,32
pivot,2008,18
alignment,2008,24
buffer,2008,23
settimeout,2008,3
package,2008,33
mvvm,2008,18
lxml,2008,2
erlang,2008,47
mingw,2008,17
pdo,2008,23
ruby-on-rails-4,2008,2
conditional-statements,2008,27
client-server,2008,26
cuda,2008,17
haskell,2008,78
controller,2008,21
find,2008,16
windows-installer,2008,132
case,2008,6
canvas,2008,24
url,2008,170
eclipse-rcp,2008,11
fft,2008,6
instance,2008,8
linker,2008,88
combobox,2008,60
xmpp,2008,21
spring,2008,152
widget,2008,31
mapreduce,2008,9
safari,2008,63
jframe,2008,8
pattern-matching,2008,10
visual-studio-2015,2008,1
curl,2008,42
kernel,2008,42
telerik,2008,6
generics,2008,345
email,2008,274
proxy,2008,93
ip,2008,21
apache2,2008,32
debian,2008,31
sql,2008,2019
triggers,2008,62
caching,2008,262
memory-management,2008,148
php,2008,2221
comparison,2008,87
vectorization,2008,1
smtp,2008,71
joomla,2008,18
try-catch,2008,27
deployment,2008,284
installation,2008,282
rss,2008,88
nested,2008,23
sql-server-2008,2008,101
dataframe,2008,1
unique,2008,20
double,2008,24
sum,2008,6
pointers,2008,110
tree,2008,39
pyqt,2008,3
cocoa,2008,323
ant,2008,113
etl,2008,13
width,2008,1
memory-leaks,2008,89
oauth,2008,4
ssrs-2008,2008,9
plugins,2008,153
exception,2008,444
xmlhttprequest,2008,32
function,2008,127
django-views,2008,1
vim,2008,172
server,2008,2
tags,2008,59
amazon-web-services,2008,21
azure,2008,12
nhibernate,2008,264
escaping,2008,48
oracle,2008,657
integration-testing,2008,39
recursion,2008,75
maps,2008,26
search,2008,199
aes,2008,19
routes,2008,102
undefined,2008,7
classification,2008,2
scope,2008,51
android,2008,36
histogram,2008,2
wxpython,2008,44
amazon-ec2,2008,21
csv,2008,97
crystal-reports,2008,109
menu,2008,49
ssl,2008,159
